user_id,user_name,tweet_id,tweet_text,user_mentions,urls,hashtags
31289390,826CHI,707914165843857408,"Film, Fairytales, Photography, &amp; MORE in our Spring Workshops // Register by 3/25 &gt;&gt; http://https://t.co/KH11yn6P6r https://t.co/C5lJWgTeR1",,https://t.co/KH11yn6P6r,
31289390,826CHI,707606177593499649,SPOTTED on the wall in Rory Gilmore's dorm room...😜 https://t.co/h6snXfsz2C,,,
31289390,826CHI,707597766697082880,RT to help the 826CHI Development team pause from spreadsheets &amp; Salesforce to experience #DoGoodData2016 https://t.co/BUuKDLNRl8,,https://t.co/BUuKDLNRl8,DoGoodData2016
31289390,826CHI,707325269602922500,"Scrabble for Cheaters photos are up, thx to @Helen_Boggess, Photographer Extraordinaire! &gt;&gt; https://t.co/x5eyFwApn2 https://t.co/n3GRhrgFjk",165621838,https://t.co/x5eyFwApn2,
31289390,826CHI,707221033137246208,@bryanpheidel We are obsessed 😳😍,2321144361,,
31289390,826CHI,707220846943666176,RT @jeni_crone: It was great having @826CHI in the KP middle school art room today. Looking forward to the coming weeks!,"2284485344,31289390",,
31289390,826CHI,707220533578899457,🍕🌪🍕🌪 WATCH OUT 🌪🍕🌪🍕 https://t.co/1l3jaZcDbw,,,
31289390,826CHI,707209523551969280,Attorney / 826 board member Sheila joined us for an inspiring #SpeakersAndSnacks session &gt;&gt; https://t.co/gpVN6qPI7f https://t.co/4LySha8Qh4,,https://t.co/gpVN6qPI7f,SpeakersAndSnacks
31289390,826CHI,706913692697366528,What does #SpyOfTheMonth Mr. Paloma do when he’s not tutoring students undercover? &gt;&gt; https://t.co/Lx6qoz6bzC https://t.co/vI8yXJGZgo,,https://t.co/Lx6qoz6bzC,SpyOfTheMonth
31289390,826CHI,706872592016261120,Something fun for #datanerds to check out: #DoGoodData2016 conference B-) https://t.co/7ID9OR5z2d,,https://t.co/7ID9OR5z2d,"datanerds,DoGoodData2016"
31289390,826CHI,706540137589694465,Our 826CHI Development Team has a passion for translating data into stories. RT to help them attend #DoGoodData2016! https://t.co/1KgOGb9IJG,,https://t.co/1KgOGb9IJG,DoGoodData2016
31289390,826CHI,706492051261693954,"#GameNight is nigh &amp; you're invited! Cards Against Humanity, Ticket to Ride, &amp; [insert your favorite game here]. https://t.co/Xd8TUcONYW",,,GameNight
31289390,826CHI,706238046010736644,The future of #NPOs is #data. Are you ready? #DoGoodData2016 https://t.co/Gs2zlhpLvS,,https://t.co/Gs2zlhpLvS,"NPOs,data,DoGoodData2016"
31289390,826CHI,706196900295417857,"We're ""Spitting a Little from All of the Excitement"" over these memoirs by Zapata 8th graders #sayitdontsprayit https://t.co/GevPa7qmB5",,,sayitdontsprayit
31289390,826CHI,705784996548710405,Wanna learn the skills to be #data literate? Check out #DoGoodData2016. Scholarships also available! &gt;&gt; https://t.co/PrHzQy04ix,,https://t.co/PrHzQy04ix,"data,DoGoodData2016"
31289390,826CHI,705759810608885760,Taste sweet victory (&amp; snacks/drinks) at #GAMENIGHT next Thurs. Bring a friend &amp; a game! https://t.co/Uu0iRtWthV https://t.co/WdvYlzcYK9,,https://t.co/Uu0iRtWthV,GAMENIGHT
31289390,826CHI,705520023750709248,"Game Night is nigh! Destroy the competition in a Bananagrams battle, settle Catan, etc &gt;&gt; https://t.co/oWfrkgDcmb https://t.co/XJu35E2IlG",,https://t.co/oWfrkgDcmb,
